Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-13-MDN,UZB-13-SAR,UZB-13-OPE,UZB-13-BEX,Tekshiruv,UZB-13-MDN.1,UZB-13-SAR.1,UZB-13-OPE.1,UZB-13-BEX.1,month
13 Buxoro,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,8,8,0,0,0,ok,44.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,78,20,21,20,17,ok,180.39999999999998,189.42,180.39999999999998,153.34,iyul
13 Buxoro,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,28,8,8,4,8,ok,72.16,72.16,36.08,72.16,iyul
13 Buxoro,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,20,5,5,5,4,-1,55.0,55.0,55.0,44.0,iyul
13 Buxoro,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,1,0,0,0,0,-1,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,11,3,3,3,2,ok,36.81,36.81,36.81,24.54,iyul
13 Buxoro,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,13,3,3,3,3,-1,22.950000000000003,22.950000000000003,22.950000000000003,22.950000000000003,iyul
13 Buxoro,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,20,0,0,20,0,ok,0.0,0.0,142.0,0.0,iyul
13 Buxoro,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,20,5,5,5,4,-1,38.5,38.5,38.5,30.8,iyul
13 Buxoro,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,20,0,0,20,0,ok,0.0,0.0,143.2,0.0,iyul
13 Buxoro,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,36,8,16,4,8,ok,50.4,100.8,25.2,50.4,iyul
13 Buxoro,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,44,12,16,12,4,ok,75.6,100.8,75.6,25.2,iyul
13 Buxoro,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,20,4,8,4,4,ok,26.2,52.4,26.2,26.2,iyul
13 Buxoro,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,327,84,87,84,72,ok,470.40000000000003,487.20000000000005,470.40000000000003,403.20000000000005,iyul
13 Buxoro,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,628,164,168,160,136,ok,918.4,940.8,896.0,761.5999999999999,iyul
13 Buxoro,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,300,0,120,120,60,ok,0.0,582.0,582.0,291.0,iyul
13 Buxoro,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,209,209,0,0,0,ok,1013.65,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,100,20,20,40,20,ok,123.75,123.75,247.5,123.75,iyul
13 Buxoro,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,80,20,20,20,20,ok,101.0,101.0,101.0,101.0,iyul
13 Buxoro,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,46,12,12,12,10,ok,111.35999999999999,111.35999999999999,111.35999999999999,92.8,iyul
13 Buxoro,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,41,11,11,10,9,ok,102.08,102.08,92.8,83.52,iyul
13 Buxoro,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,24,6,6,6,5,-1,44.76,44.76,44.76,37.3,iyul
13 Buxoro,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,60,0,60,0,0,ok,0.0,358.2,0.0,0.0,iyul
13 Buxoro,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,30,15,15,15,-15,ok,90.29,90.29,90.29,-90.29,iyul
13 Buxoro,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,30,5,15,15,-5,ok,26.11,78.33,78.33,-26.11,iyul
13 Buxoro,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
